timestamp,round_id,service_name,hostname,url,tags,probe_type,success,latency_ms,latency_p95_ms,jitter_ms,packet_loss_pct,status_code,error_kind,error_message,details
2025-12-18T14:33:48.750748+00:00,2025-12-18T14:33:43.717406+00:00,gateway,192.168.240.1,http://192.168.240.1/,"gateway,wifi_path,baseline",ping,False,,,,100.0,,ping_unknown_error,ping exited with code 1,min=None;max=None;samples=
2025-12-18T14:33:49.450561+00:00,2025-12-18T14:33:43.717406+00:00,google,www.google.com,https://www.google.com/generate_204,"baseline,public_web",ping,True,139.91610160010168,207.35530899946752,57.954929000061384,0.0,,ok,,min=63.6805270005425;max=245.7104810000601;samples=75.12;63.68;107.72;245.71;207.36
2025-12-18T14:33:49.510491+00:00,2025-12-18T14:33:43.717406+00:00,google,www.google.com,https://www.google.com/generate_204,"baseline,public_web",dns,True,59.80380199980573,,,,,ok,,ip=142.250.184.132
2025-12-18T14:33:50.209838+00:00,2025-12-18T14:33:43.717406+00:00,google,www.google.com,https://www.google.com/generate_204,"baseline,public_web",http,True,697.3828310001409,,,,204,ok,,status_class=2xx;bytes=0;redirects=0
2025-12-18T14:33:51.413630+00:00,2025-12-18T14:33:43.717406+00:00,cloudflare,1.1.1.1,https://1.1.1.1/,"baseline,public_dns",ping,True,240.71533280039148,241.46716600080254,1.585694000368676,0.0,,ok,,min=237.59293600051024;max=242.41958600032376;samples=237.59;241.47;241.39;240.71;242.42
2025-12-18T14:33:52.864009+00:00,2025-12-18T14:33:43.717406+00:00,cloudflare,1.1.1.1,https://1.1.1.1/,"baseline,public_dns",http,True,1447.9171660004795,,,,200,ok,,status_class=2xx;bytes=56614;redirects=1
2025-12-18T14:33:53.107402+00:00,2025-12-18T14:33:43.717406+00:00,bocconi_www,www.unibocconi.it,https://www.unibocconi.it/en/,"bocconi,university",ping,True,81.06353299990587,72.40680199902272,24.34535349948419,0.0,,ok,,min=61.04654500086326;max=109.73725199983164;samples=109.74;72.41;61.05
2025-12-18T14:33:53.149692+00:00,2025-12-18T14:33:43.717406+00:00,bocconi_www,www.unibocconi.it,https://www.unibocconi.it/en/,"bocconi,university",dns,True,42.16715000075055,,,,,ok,,ip=108.157.52.110
2025-12-18T14:34:09.339632+00:00,2025-12-18T14:33:43.717406+00:00,bocconi_www,www.unibocconi.it,https://www.unibocconi.it/en/,"bocconi,university",http,True,15323.404650000157,,,,200,ok,,status_class=2xx;bytes=227182;redirects=1
2025-12-18T14:34:09.705584+00:00,2025-12-18T14:33:43.717406+00:00,zoom,zoom.us,https://zoom.us/,video_call,ping,True,121.86940499971872,122.03639300059876,3.2766629992693197,0.0,,ok,,min=119.51797499932582;max=124.05384699923161;samples=122.04;124.05;119.52
